Movie Title,Release Year,Genre1,Genre2,Genre3,Duration,Country,Content Rating,Director,Income,Votes,Score,,
North by Northwest,28/10/1959,Adventure, Mystery, Thriller,136,USA,PG,Alfred Hitchcock," $734,460.00 ","291,628",7.5,,
The Godfather,21/09/1972,Crime, Drama,,175,USA,R,Francis Ford Coppola," $246,120,974.00 ","1,572,674",9.2,,
The Dark Knight,23/07/2008,Action, Crime, Drama,152,USA,PG-13,Christopher Nolan," $1,005,455,211.00 ","2,241,615",9,,
The Godfather: Part II,25/09/1975,Crime, Drama,,220,USA,R,Francis Ford Coppola," $408,035,783.00 ","1,098,714",9,,
The Lord of the Rings: The Return of the King,22/02/2004,Action, Adventure, Drama,201,New Zealand,PG-13,Peter Jackson," $1,142,271,098.00 ","1,604,280",8.9,,
Schindler's List,11/03/1994,Biography, Drama, History,195,USA,R,Steven Spielberg," $322,287,794.00 ","1,183,248",8.9,,
C'era una volta il West,21/12/1968,Western,,,165,Italy,PG-13,Sergio Leone," $112,911.00 "," 29,522 ",8.3,,
Inception,24/09/2010,Action, Adventure, Sci-Fi,148,USA,PG-13,Christopher Nolan," $869,784,991.00 ","2,002,816",8.8,,
Fight Club,29/10/1999,Drama,,,139,UK,R,David Fincher," $101,218,804.00 ","1,807,440",8.8,,
Forrest Gump,06/10/1994,Drama, Romance,,142,USA,PG-13,Robert Zemeckis," $678,229,452.00 ","1,755,490",8.8,,
The Lord of the Rings: The Fellowship of the Ring,18/01/2002,Action, Adventure, Drama,178,New Zealand,PG-13,Peter Jackson," $887,934,303.00 ","1,619,920",8.8,,
Sunset Blvd.,06/03/1951,Drama, Film-Noir,,110,USA,PG,Billy Wilder," $299,645.00 ","195,789",8,,
The Matrix,07/05/1999,Action, Sci-Fi,,136,USA,R,"Lana Wachowski, Lilly Wachowski"," $465,718,588.00 ","1,632,315",8.7,,
The Lord of the Rings: The Two Towers,16/01/2003,Action, Adventure, Drama,179,New Zealand,PG-13,Peter Jackson," $951,227,416.00 ","1,449,778",8.7,,
Star Wars: Episode V - The Empire Strikes Back,19/09/1980,Action, Adventure, Fantasy,124,USA,PG,Irvin Kershner," $549,265,501.00 ","1,132,073",8.7,,
Goodfellas,20/09/1990,Biography, Crime, Drama,146,USA,R,Martin Scorsese," $46,879,633.00 ","991,505",8.7,,
One Flew Over the Cuckoo's Nest,18/11/1976,Drama,,,133,USA,R,Milos Forman," $108,997,629.00 ","891,071",8.7,,
Interstellar,06/11/2014,Adventure, Drama, Sci-Fi,169,USA,PG-13,Christopher Nolan," $696,742,056.00 ","1,449,256",8.6,,
Se7en,15/12/1995,Crime, Drama, Mystery,127,USA,R,David Fincher," $327,333,559.00 ","1,402,015",8.6,,
The Silence of the Lambs,05/03/1991,Crime, Drama, Thriller,118,USA,R,Jonathan Demme," $272,753,884.00 ","1,234,134",8.6,,
Star Wars,20/10/1977,Action, Adventure, Fantasy,121,USA,PG,George Lucas," $775,768,912.00 ","1,204,107",8.6,,
Saving Private Ryan,30/10/1998,Drama, War,,169,USA,R,Steven Spielberg," $482,349,603.00 ","1,203,825",8.6,,
The Green Mile,03/10/2000,Crime, Drama, Fantasy,189,USA,R,Frank Darabont," $286,801,374.00 ","1,112,336",8.6,,
Cidade de Deus,09/05/2003,Crime, Drama,,130,Brazil,R,"Fernando Meirelles, Katia Lund"," $30,680,793.00 ","685,856",8.6,,
Sen to Chihiro no kamikakushi,18/04/2003,Animation, Adventure, Family,125,Japan,PG,Hayao Miyazaki," $355,467,056.00 ","626,693",8.6,,
La vita bella,20/12/1997,Comedy, Drama, Romance,116,Italy,PG,Roberto Benigni," $230,098,753.00 ","605,648",8.6,,
Gisaengchung,07/11/2019,Comedy, Drama, Thriller,132,South Korea,15,Bong Joon Ho," $257,604,912.00 ","470,931",8.6,,
Shichinin no samurai,19/08/1955,Action, Adventure, Drama,207,Japan,PG,Akira Kurosawa," $322,773.00 ","307,958",8.6,,
Modern Times,12/03/1937,Comedy, Drama, Family,87,USA,G,Charles Chaplin," $457,688.00 ","21,125",8.3,,
Gladiator,19/05/2000,Action, Adventure, Drama,155,USA,R,Ridley Scott," $465,361,176.00 ","1,308,193",8.5,,
The Departed,27/10/2006,Crime, Drama, Thriller,151,USA,R,Martin Scorsese," $291,465,034.00 ","1,159,703",8.5,,
The Prestige,22/12/2006,Drama, Mystery, Sci-Fi,130,UK,PG-13,Christopher Nolan," $109,676,311.00 ","1,155,723",8.5,,
Back to the Future,18/10/1985,Adventure, Comedy, Sci-Fi,116,USA,PG,Robert Zemeckis," $388,774,684.00 ","1,027,330",8.5,,
Hotaru no haka,11/10/2015,Animation, Drama, War,89,Japan,12,Isao Takahata," $516,962.00 ","225,438",8.3,,
12 Angry Men,04/09/1957,Crime, Drama,,96,USA,Not Rated,Sidney Lumet," $576,000.00 ","668,473",8.9,,
Terminator 2: Judgment Day,19/12/1991,Action, Sci-Fi,,137,USA,R,James Cameron," $520,884,847.00 ","97,497",8.4,,
The Great Dictator,25/06/1945,Comedy, Drama, War,125,USA,PG,Charles Chaplin," $969,879.00 ","197,381",8,,
The Lion King,25/11/1994,Animation, Adventure, Drama,88,USA,G,"Roger Allers, Rob Minkoff"," $968,511,805.00 ","917,248",8.4,,
Joker,03/10/2019,Crime, Drama, Thriller,122,USA,15,Todd Phillips," $1,074,251,311.00 ","855,097",8.4,,
Intouchables,24/02/2012,Biography, Comedy, Drama,112,France,15,"Olivier Nakache, Eric Toledano"," $426,588,510.00 ","736,691",8.4,,
The Pianist,25/10/2002,Biography, Drama, Music,150,UK,R,Roman Polanski," $120,072,577.00 ","707,942",8.4,,
Whiplash,12/02/2015,Drama, Music,,106,USA,R,Damien Chazelle," $48,983,260.00 ","690,732",8.4,,
Psycho,28/10/1960,Horror, Mystery, Thriller,109,USA,R,Alfred Hitchcock," $32,008,644.00 ","586,765",8.3,,
Citizen Kane,25/11/1948,Drama, Mystery,,119,USA,Not Rated,Orson Welles," $1,594,107.00 ","389,322",7.6,,
Singin' in the Rain,05/02/1953,Comedy, Musical, Romance,103,USA,Not Rated,Stanley Donen," $1,864,182.00 ","213,152",7.4,,
Reservoir Dogs,09/10/1992,Crime, Drama, Thriller,99,USA,R,Quentin Tarantino," $2,889,963.00 ","896,551",7.9,,
Casablanca,21/11/1946,Drama, Romance, War,102,USA,PG,Michael Curtiz," $4,374,761.00 ","509,953",8.3,,
Once Upon a Time in America,28/09/1984,Crime, Drama,,229,USA,R,Sergio Leone," $5,472,914.00 ","302,317",8,,
The Dark Knight Rises,29/08/2012,Action, Adventure,,164,UK,PG-13,Christopher Nolan," $1,081,133,191.00 ","1,480,582",8.3,,
Django Unchained,17/01/2013,Drama, Western,,165,USA,R,Quentin Tarantino," $425,368,238.00 ","1,317,856",8.3,,
Memento,19/01/2001,Mystery, Thriller,,113,USA,R,Christopher Nolan," $39,970,386.00 ","1,098,879",8.2,,
WALL·E,17/10/2008,Animation, Adventure, Family,98,USA,G,Andrew Stanton," $521,311,860.00 ","974,734",8.2,,
The Shining,22/12/1980,Drama, Horror,,146,UK,R,Stanley Kubrick," $46,520,613.00 ",86948.00,8.2,,
Raiders of the Lost Ark,12/06/1981,Action, Adventure,,115,USA,PG,Steven Spielberg," $390,133,212.00 ","86,551",8.2,,
Avengers: Infinity War,25/04/2018,Action, Adventure, Sci-Fi,149,USA,12,"Anthony Russo, Joe Russo"," $2,048,359,754.00 ","796,486",8.2,,
Alien,25/10/1979,Horror, Sci-Fi,,117,UK,R,Ridley Scott," $108,110,316.00 ","768,874",8.2,,
Avengers: Endgame,24/04/2019,Action, Adventure, Drama,181,USA,12,"Anthony Russo, Joe Russo"," $2,797,800,564.00 ","754,786",8.2,,
Apocalypse Now,18/12/1979,Drama, Mystery, War,147,USA,R,Francis Ford Coppola," $91,968,688.00 ","591,251",8.2,,
It's a Wonderful Life,11/03/1948,Drama, Family, Fantasy,130,USA,PG,Frank Capra," $6,130,720.00 ","38,831",8.6,,
Requiem for a Dream,15/12/2000,Drama,,,102,USA,R,Darren Aronofsky," $7,390,108.00 ","748,291",7.8,,
Rear Window,14/04/1955,Mystery, Thriller,,112,USA,PG,Alfred Hitchcock," $37,032,034.00 ","43,239",8.1,,
Coco,28/12/2017,Animation, Adventure, Family,105,USA,PG,"Lee Unkrich, Adrian Molina"," $807,083,670.00 ","352,455",8.1,,
Das Leben der Anderen,06/04/2007,Drama, Mystery, Thriller,137,Germany,R,Florian Henckel von Donnersmarck," $77,356,942.00 ","349,642",8.1,,
Spider-Man: Into the Spider-Verse,25/12/2018,Animation, Action, Adventure,117,USA,PG,"Bob Persichetti, Peter Ramsey"," $375,540,831.00 ","335,892",8.1,,
3 Idiots,25/12/2009,Comedy, Drama,,170,India,12,Rajkumar Hirani," $60,262,836.00 ","332,217",8.1,,
Mononoke-hime,19/05/2000,Animation, Adventure, Fantasy,134,Japan,PG-13,Hayao Miyazaki," $169,785,629.00 ","331,045",8,,
Vertigo,18/11/1958,Mystery, Romance, Thriller,128,USA,12,Alfred Hitchcock," $7,796,389.00 ","352,786",7.5,,
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,03/04/1964,Comedy,,,95,UK,PG,Stanley Kubrick," $9,443,876.00 ","441,115",8.1,,
Das Boot,18/03/1982,Adventure, Drama, Thriller,149,West Germany,R,Wolfgang Petersen," $11,487,676.00 ","226,427",7.5,,
Inglourious Basterds,02/10/2009,Adventure, Drama, War,153,Germany,R,Quentin Tarantino," $321,455,689.00 ","1,229,958",8,,
American Beauty,21/01/2000,Drama,,,122,USA,R,Sam Mendes," $356,296,601.00 ","1,049,009",8,,
Braveheart,01/12/1995,Biography, Drama, History,178,USA,R,Mel Gibson," $213,216,216.00 ","941,683",7.9,,
Star Wars: Episode VI - Return of the Jedi,21/10/1983,Action, Adventure, Fantasy,131,USA,PG,Richard Marquand," $475,347,111.00 ","928,036",7.9,,
